arg-id,x,y,probability,cluster-id
A0_0,8.031231,2.4431179,101.0,4
A0_1,7.5179877,2.3906875,1.0,2
A1_0,10.854931,3.3175097,1.0,15
A1_1,7.4861875,2.124875,1.0,2
A1_2,2.211921,4.2649426,101.0,12
A1_3,3.8942232,2.6732395,1.0,3
A3_0,9.56586,1.0678023,1.0,23
A3_1,4.131034,2.9972768,1.0,3
A3_2,7.649266,3.999653,1.0,8
A3_3,7.9562726,0.39672595,1.0,2
A4_0,7.2274356,1.6022505,1.0,2
A4_1,4.8327136,0.5269043,1.0,20
A4_2,6.2753677,4.173262,0.9298748072015932,7
A4_3,5.6977143,0.64679617,1.0,5
A4_4,9.365762,2.3095706,1.0,4
A5_0,11.090152,3.4604747,1.0,15
A5_1,11.127413,3.1547558,0.991226786389973,15
A5_2,9.52848,2.5891042,1.0,4
A5_3,8.596685,1.5338331,1.0,2
A5_4,6.484068,3.2748985,1.0,29
A6_0,8.957466,2.0902154,1.0,4
A6_1,8.49525,0.2411702,1.0,23
A6_2,4.14149,2.85281,1.0,3
A6_3,7.463326,3.590355,1.0,29
A6_4,7.2781286,3.6795995,1.0,29
A8_0,7.437488,2.0501363,1.0,2
A9_0,7.5570436,1.4338424,1.0,2
A9_1,7.6791286,1.3939774,1.0,2
A9_2,7.757225,1.4237207,1.0,2
A9_3,7.58229,1.4109759,1.0,2
A10_0,7.1298184,1.6138707,1.0,2
A10_1,8.119356,1.4546391,1.0,2
A10_2,7.5452375,3.0355983,1.0,29
A10_3,7.2562847,1.0461465,1.0,2
A10_4,9.105664,2.1627712,1.0,4
A11_0,3.7736013,3.2773938,1.0,3
A11_1,7.206548,2.0954256,1.0,2
A11_2,7.555754,2.3120692,1.0,2
A11_3,7.105642,3.2012093,1.0,29
A13_0,7.3431897,3.6451368,1.0,29
A13_1,7.645335,3.455917,1.0,29
A13_2,3.9749541,2.5757136,101.0,18
A13_3,3.8059347,2.7059197,1.0,3
A13_4,9.390239,0.22921167,1.0,23
A14_0,6.829806,1.3639342,1.0,5
A14_1,8.374206,0.80277365,1.0,2
A14_2,7.71152,-0.15951885,1.0,17
A14_3,7.4206185,1.543608,1.0,2
A14_4,6.734654,1.6374849,1.0,5
A15_0,5.459646,1.2814695,1.0,5
A15_1,7.691159,2.6159334,1.0,4
A16_0,7.763002,0.9300217,0.9129569859208486,2
A16_1,6.6814737,2.3920617,1.0,5
A16_2,6.5369143,2.3712583,1.0,5
A16_3,2.635154,4.075977,1.0,12
